Tarih,dayOfWeek,Total Spending,Total Income,Discretionary Amount,Essential Amount,Share of Discretionary
8.12.2023,Friday,-293,0,-93,-200,0.317406143
9.12.2023,Saturday,-200,0,-200,0,1
10.12.2023,Sunday,-245,0,0,-245,0
11.12.2023,Monday,-350,3900,-100,-250,0.285714286
12.12.2023,Tuesday,-340,0,-340,0,1
14.12.2023,Thursday,-1050.54,2,-439,-611.54,0.417880328
15.12.2023,Friday,-463.55,1000,0,-463.55,0
16.12.2023,Saturday,-777,0,-777,0,1
17.12.2023,Sunday,-323.9,0,0,-323.9,0
18.12.2023,Monday,-140,0,-140,0,1
19.12.2023,Tuesday,-450,0,-200,-250,0.444444444
20.12.2023,Wednesday,-140,0,-140,0,1
21.12.2023,Thursday,-166.6666667,1000,0,-166.6666667,0
22.12.2023,Friday,-140,0,-140,0,1
23.12.2023,Saturday,-270,0,-270,0,1
24.12.2023,Sunday,-826.9,2,-299.9,-527,0.362679889
25.12.2023,Monday,-1044.616667,230,-459.5,-585.1166667,0.439874276
26.12.2023,Tuesday,-266.6666667,0,-100,-166.6666667,0.375
27.12.2023,Wednesday,-220,0,-220,0,1
28.12.2023,Thursday,-250,0,0,-250,0
29.12.2023,Friday,-350,1760,-100,-250,0.285714286
30.12.2023,Saturday,-6,0,-6,0,1
31.12.2023,Sunday,-694.5766667,0,-517.9,-176.6766667,0.745634031
1.01.2024,Monday,-519.3366667,0,-200,-319.3366667,0.385106642
2.01.2024,Tuesday,-562.91,5000,-462.91,-100,0.822351708
3.01.2024,Wednesday,-246.6666667,0,-80,-166.6666667,0.324324324
4.01.2024,Thursday,-434.9,0,-209.9,-225,0.482639687
5.01.2024,Friday,-400,0,-200,-200,0.5
6.01.2024,Saturday,-293.75,0,-275,-18.75,0.936170213
7.01.2024,Sunday,-466,0,0,-466,0
9.01.2024,Tuesday,-300,0,-100,-200,0.333333333
10.01.2024,Wednesday,-275,0,-275,0,1
12.01.2024,Friday,-600,0,0,-600,0
13.01.2024,Saturday,-160,0,-160,0,1
14.01.2024,Sunday,-1027.19,0,-300,-727.19,0.292058918
15.01.2024,Monday,-235,0,-135,-100,0.574468085
16.01.2024,Tuesday,-470,1358,-370,-100,0.787234043
17.01.2024,Wednesday,-100,2000,0,-100,0
18.01.2024,Thursday,-376.95,0,-260,-116.95,0.689746651
19.01.2024,Friday,-700,2,0,-700,0
20.01.2024,Saturday,-935,250,-735,-200,0.786096257
21.01.2024,Sunday,-375.5,0,-279,-96.5,0.743009321
22.01.2024,Monday,-1070.11,0,-100,-970.11,0.093448337
26.01.2024,Friday,-255,2250,-155,-100,0.607843137
27.01.2024,Saturday,-200,0,-100,-100,0.5
15.02.2024,Thursday,-431.5,0,-300,-131.5,0.695249131
16.02.2024,Friday,-335.35,5000,0,-335.35,0
18.02.2024,Sunday,-8808.25,0,-239.9,-8568.35,0.02723583
19.02.2024,Monday,-337.75,1000,0,-337.75,0
20.02.2024,Tuesday,-400,0,-300,-100,0.75
21.02.2024,Wednesday,-425,0,-125,-300,0.294117647
22.02.2024,Thursday,-496.78,0,0,-496.78,0
24.02.2024,Saturday,-496.6666667,0,-230,-266.6666667,0.463087248
25.02.2024,Sunday,-793.6666667,2,-375,-418.6666667,0.47249055
26.02.2024,Monday,-286.5666667,0,0,-286.5666667,0
28.02.2024,Wednesday,-229,0,-229,0,1
29.02.2024,Thursday,-110.01,1200,0,-110.01,0
1.03.2024,Friday,-423.4,7000,-200,-223.4,0.472366556
2.03.2024,Saturday,-22.5,0,-22.5,0,1
3.03.2024,Sunday,-500,0,0,-500,0
4.03.2024,Monday,-60,0,-60,0,1
5.03.2024,Tuesday,-132.7,0,-115,-17.7,0.866616428
6.03.2024,Wednesday,-395,0,-395,0,1
7.03.2024,Thursday,-698.65,0,0,-698.65,0
9.03.2024,Saturday,-440,0,-440,0,1
10.03.2024,Sunday,-1110,0,-110,-1000,0.099099099
11.03.2024,Monday,-221.53,150,-117,-104.53,0.528145172
12.03.2024,Tuesday,-7.5,0,-7.5,0,1
13.03.2024,Wednesday,-200,0,-100,-100,0.5
14.03.2024,Thursday,-879.92,0,-100,-779.92,0.113646695
16.03.2024,Saturday,-332.0166667,0,0,-332.0166667,0
17.03.2024,Sunday,-191.6666667,1500,0,-191.6666667,0
18.03.2024,Monday,-469,2250,-469,0,1
19.03.2024,Tuesday,-3313.666667,0,-3120,-193.6666667,0.941555176
21.03.2024,Thursday,-40,0,-29,-11,0.725
22.03.2024,Friday,-30,0,-30,0,1
23.03.2024,Saturday,-630.45,0,0,-630.45,0
24.03.2024,Sunday,-750,0,-250,-500,0.333333333
25.03.2024,Monday,-35.95,0,-15,-20.95,0.417246175
26.03.2024,Tuesday,-15,0,-15,0,1
27.03.2024,Wednesday,-278,0,-278,0,1
28.03.2024,Thursday,-246.75,0,-165,-81.75,0.668693009
29.03.2024,Friday,-304,2400,-304,0,1
30.03.2024,Saturday,-930,1000,-30,-900,0.032258065
31.03.2024,Sunday,-244.01,0,-234,-10.01,0.958977091
1.04.2024,Monday,-180,7000,-30,-150,0.166666667
2.04.2024,Tuesday,-410,0,-410,0,1
3.04.2024,Wednesday,-28,0,-28,0,1
4.04.2024,Thursday,-15,0,-15,0,1
5.04.2024,Friday,-835,0,-295,-540,0.353293413
8.04.2024,Monday,-150,2250,0,-150,0
10.04.2024,Wednesday,-1149,1200,0,-1149,0
11.04.2024,Thursday,-175.5,0,0,-175.5,0
14.04.2024,Sunday,-946.02,0,-265,-681.02,0.280120928
15.04.2024,Monday,-765,0,-265,-500,0.346405229
16.04.2024,Tuesday,-15,0,-15,0,1
17.04.2024,Wednesday,-262.7,0,-30,-232.7,0.114198706
18.04.2024,Thursday,-83.85,0,-15,-68.85,0.178890877
19.04.2024,Friday,-750,0,-250,-500,0.333333333
20.04.2024,Saturday,-623.3333333,0,-290,-333.3333333,0.465240642
22.04.2024,Monday,-62.45,0,-15,-47.45,0.240192154
23.04.2024,Tuesday,-15,0,-15,0,1
24.04.2024,Wednesday,-265,0,-265,0,1
25.04.2024,Thursday,-579.3533333,0,0,-579.3533333,0
26.04.2024,Friday,-611.2333333,0,-250,-361.2333333,0.409009107
27.04.2024,Saturday,-230,0,-30,-200,0.130434783
28.04.2024,Sunday,-231.95,0,0,-231.95,0
29.04.2024,Monday,-195,0,-195,0,1
30.04.2024,Tuesday,-749.21,2400,-250,-499.21,0.333684815
1.05.2024,Wednesday,-190,0,-190,0,1
2.05.2024,Thursday,-699.75,7000,-499.75,-200,0.714183637
3.05.2024,Friday,-342.8,0,0,-342.8,0
4.05.2024,Saturday,-269.25,0,-250,-19.25,0.928505107
5.05.2024,Sunday,-200,0,0,-200,0
6.05.2024,Monday,-420,0,-420,0,1
8.05.2024,Wednesday,-5429.99,0,-5149.99,-280,0.948434528
9.05.2024,Thursday,-405,0,-405,0,1
10.05.2024,Friday,-712.46,0,-250,-462.46,0.350896892
11.05.2024,Saturday,-709,0,0,-709,0
